,ranking,name,position,age,nation,club,value,matches,goals,assist,yellowcard,redcard,subsin,subsout
37,38,Sergej Milinković-Savić,Central Midfield,27,Serbia,SS Lazio,€70.00m,41,9,10,5,0,6,9
38,39,Nicolò Barella,Central Midfield,25,Italy,Inter Milan,€70.00m,38,2,10,7,1,1,20
39,40,Leroy Sané,Left Winger,26,Germany,Bayern Munich,€70.00m,38,14,15,3,0,8,18
40,41,Serge Gnabry,Right Winger,26,Germany,Bayern Munich,€70.00m,36,13,9,0,0,11,16
41,42,Leon Goretzka,Central Midfield,27,Germany,Bayern Munich,€70.00m,18,2,2,0,0,0,9
42,43,Bukayo Saka,Right Midfield,20,England,Arsenal FC,€65.00m,33,10,5,4,0,3,16
43,44,Federico Valverde,Central Midfield,23,Uruguay,Real Madrid,€65.00m,33,1,1,2,0,14,8
44,45,Christopher Nkunku,Attacking Midfield,24,France,RB Leipzig,€65.00m,40,26,15,2,0,3,15
45,46,Gianluigi Donnarumma,Goalkeeper,23,Italy,Paris Saint-Germain,€65.00m,20,0,0,3,0,0,0
46,47,Andrew Robertson,Left-Back,28,Scotland,Liverpool FC,€65.00m,34,1,13,5,1,3,3
47,48,Milan Skriniar,Centre-Back,27,Slovakia,Inter Milan,€65.00m,38,4,0,4,0,0,0
48,49,Raphaël Varane,Centre-Back,28,France,Manchester United,€65.00m,25,0,1,1,0,3,3
49,50,Thibaut Courtois,Goalkeeper,29,Belgium,Real Madrid,€65.00m,40,0,0,1,0,0,0
50,51,Gavi,Central Midfield,17,Spain,FC Barcelona,€60.00m,40,2,5,10,1,10,22
51,52,Ansu Fati,Left Winger,19,Spain,FC Barcelona,€60.00m,10,5,1,0,0,6,5
52,53,Jules Koundé,Centre-Back,23,France,Sevilla FC,€60.00m,36,1,1,3,2,3,1
53,54,Victor Osimhen,Centre-Forward,23,Nigeria,SSC Napoli,€60.00m,25,15,4,5,1,5,12
54,55,Éder Militão,Centre-Back,24,Brazil,Real Madrid,€60.00m,39,2,2,6,1,0,1
55,56,Gabriel Jesus,Centre-Forward,24,Brazil,Manchester City,€60.00m,29,6,10,2,0,10,7
56,57,Diogo Jota,Centre-Forward,25,Portugal,Liverpool FC,€60.00m,41,20,4,6,0,10,20
